site,year,n,smf,yslf,ytnf,ffi
gran,1650,1,0.02425417008495055,2,8,10
gran,1651,1,0.2536214577528998,3,7,10
gran,1652,1,0.4393909989377723,4,6,10
gran,1653,1,0.41455174365645786,5,5,10
gran,1654,0,0.18973835502188183,6,4,10
gran,1655,0,0.01351802275671031,7,3,10
gran,1656,0,-0.19726867492098266,8,2,10
gran,1657,0,-0.33474896042366414,9,1,10
gran,1658,0,-0.48058157821599795,0,0,0
gran,1659,0,-0.408126758620181,1,26,27
gran,1660,0,-0.4455123575206881,2,25,27
gran,1661,1,-0.5009087864030871,3,24,27
gran,1662,1,-1.0137795107657792,4,23,27
gran,1663,0,-1.229336515255799,5,22,27
gran,1664,1,-1.3816166380585122,6,21,27
gran,1665,0,-1.4635717465200841,7,20,27
gran,1666,0,-1.2439945125694651,8,19,27
gran,1667,0,-0.6343201519369737,9,18,27
gran,1668,0,-0.11497546395271566,10,17,27
gran,1669,0,0.3077448744552821,11,16,27
gran,1670,0,0.6258612804246748,12,15,27
gran,1671,1,0.8776566562605621,13,14,27
gran,1672,0,0.9517115655602877,14,13,27
gran,1673,0,0.580927881686603,15,12,27
gran,1674,0,0.14269706180036554,16,11,27
gran,1675,0,-0.24399877773044082,17,10,27
gran,1676,1,-0.7363470288929341,18,9,27
gran,1677,0,-1.267251330879253,19,8,27
gran,1678,0,-1.717435713762881,20,7,27
gran,1679,0,-1.887956337800371,21,6,27
gran,1680,0,-1.8900268035469252,22,5,27
gran,1681,2,-1.712285809482637,23,4,27
gran,1682,1,-1.3121796195157205,24,3,27
gran,1683,1,-0.7826117885617633,25,2,27
gran,1684,0,-0.8183813933238547,26,1,27
gran,1685,0,-0.8051509673913245,0,0,0
gran,1686,0,-0.8302344016011082,1,7,8
gran,1687,0,-0.8325386356630918,2,6,8
gran,1688,0,-0.5671980188753372,3,5,8
gran,1689,0,-0.048566729612429305,4,4,8
gran,1690,0,0.31281221605248627,5,3,8
gran,1691,0,0.6150671801178681,6,2,8
gran,1692,0,0.6512096448091347,7,1,8
gran,1693,0,0.4833341454685127,0,0,0
gran,1694,0,0.24735289459648516,1,9,10
gran,1695,1,0.06550005495092762,2,8,10
gran,1696,0,-0.07890341509621114,3,7,10
gran,1697,0,-0.07886324851488853,4,6,10
gran,1698,1,-0.06701582723977241,5,5,10
gran,1699,0,0.03446778641041096,6,4,10
gran,1700,2,0.10044192032418053,7,3,10
gran,1701,1,0.09928193953072346,8,2,10
gran,1702,0,0.16337421754693982,9,1,10
gran,1703,0,0.2809801443258366,0,0,0
gran,1704,0,0.38733505637294396,1,7,8
gran,1705,0,0.3090140680551482,2,6,8
gran,1706,0,0.13262597303664145,3,5,8
gran,1707,1,0.10629901038515378,4,4,8
gran,1708,2,-0.05090467340008086,5,3,8
gran,1709,0,-0.09516490903367088,6,2,8
gran,1710,1,-0.020077130790519232,7,1,8
gran,1711,0,-0.13798415822856183,0,0,0
gran,1712,0,-0.4227053294817,1,4,5
gran,1713,0,-0.48091432455421884,2,3,5
gran,1714,1,-0.6481597379458958,3,2,5
gran,1715,3,-0.9770704978615702,4,1,5
gran,1716,0,-0.975599145415085,0,0,0
gran,1717,0,-1.023851326041937,1,5,6
gran,1718,0,-1.0291027140729059,2,4,6
gran,1719,0,-0.9963205547883457,3,3,6
gran,1720,0,-0.7481923287558847,4,2,6
gran,1721,0,-0.613305485707708,5,1,6
gran,1722,0,-0.4024109510505565,0,0,0
gran,1723,0,-0.37797930052960205,1,4,5
gran,1724,0,-0.5649146852533513,2,3,5
gran,1725,0,-0.6972061523080137,3,2,5
gran,1726,0,-0.5146090681702923,4,1,5
gran,1727,0,-0.2990071677636761,0,0,0
gran,1728,1,0.02953451931372907,1,11,12
gran,1729,0,0.43243672906598063,2,10,12
gran,1730,0,0.49016503815073603,3,9,12
gran,1731,0,0.5552450187025891,4,8,12
gran,1732,1,0.4753298152017981,5,7,12
gran,1733,0,0.32097930987076734,6,6,12
gran,1734,1,0.40994094407715076,7,5,12
gran,1735,0,0.6137971071058365,8,4,12
gran,1736,1,0.37309571163288613,9,3,12
gran,1737,1,0.017389501880706915,10,2,12
gran,1738,0,-0.2396173961976206,11,1,12
gran,1739,0,-0.4904747219260901,0,0,0
gran,1740,0,-0.5857636968932864,1,11,12
gran,1741,0,-0.6492749498831454,2,10,12
gran,1742,0,-0.4642583064015747,3,9,12
gran,1743,1,-0.630751081314072,4,8,12
gran,1744,0,-0.8037050247877631,5,7,12
gran,1745,0,-0.9730530422526126,6,6,12
gran,1746,0,-0.7961964702682995,7,5,12
gran,1747,0,-0.9162183021573171,8,4,12
gran,1748,0,-0.6667937897854594,9,3,12
gran,1749,0,-0.3401967102493356,10,2,12
gran,1750,1,-0.32119554541896805,11,1,12
gran,1751,1,-0.2930120447754411,0,0,0
gran,1752,1,-0.0515855912663847,0,0,0
gran,1753,2,0.16912580936594318,1,10,11
gran,1754,0,0.4053052814457542,2,9,11
gran,1755,0,0.9195911448229284,3,8,11
gran,1756,0,0.983392157702343,4,7,11
gran,1757,1,1.1720780677577523,5,6,11
gran,1758,0,1.2474458600815714,6,5,11
gran,1759,0,0.8876708413424353,7,4,11
gran,1760,2,-0.010888412129624825,8,3,11
gran,1761,0,-0.5824466317256329,9,2,11
gran,1762,1,-1.4091677964442009,10,1,11
gran,1763,1,-2.021077650908012,0,0,0
gran,1764,0,-2.323844702490904,1,3,4
gran,1765,0,-2.0925546695000286,2,2,4
gran,1766,0,-1.7110302552857228,3,1,4
gran,1767,0,-1.1258659851231898,0,0,0
gran,1768,0,-0.6466541288077545,1,9,10
gran,1769,1,-0.3357592243737593,2,8,10
gran,1770,1,0.0053502771580658404,3,7,10
gran,1771,0,-0.013033411788503903,4,6,10
gran,1772,1,0.03397177932600987,5,5,10
gran,1773,0,-0.19536219993193887,6,4,10
gran,1774,1,-0.07446767202155948,7,3,10
gran,1775,1,-0.08175223904604703,8,2,10
gran,1776,1,0.16082300483505582,9,1,10
gran,1777,0,0.2432902875659832,0,0,0
gran,1778,3,0.4305243608673722,1,4,5
gran,1779,3,0.5298093008409912,2,3,5
gran,1780,2,0.6628279116204864,3,2,5
gran,1781,0,0.6366269795830809,4,1,5
gran,1782,0,0.6514563513158826,0,0,0
